IDLink,SentimentTitle,SentimentHeadline
j513X7mPrJ,-0.241090679,-0.005728668
amshiZe6UY,-0.004647962,-0.057318037
tgkeH242IX,0.001933587,0.011416025
nXPSgZYl9a,-0.026513359,0.109183821
kpLPkLUhyO,-0.22376101,-0.120310829
4ktjkm3BNk,0.125637151,-0.096761938
RTyrdJQ8Dp,-0.169173723,0.040901428
CtG8GweoIq,0.046834556,0.030372835
L00akWwk2x,0.025097542,0.070590443
LXyTK4jVyA,0.10489669,-0.083941229
UnXhPiKpzD,-0.001985056,-0.019801939
DGNEQufSrb,-0.115326546,-0.155942367
zOPdNMW9uC,-0.000242641,-0.010958368
yHBHcgAO8N,0.170594587,-0.006360955
xyU9kiwWzl,0.198685124,0.112976755
jZy8EjJOi5,-0.330265232,0.037038177
3vijCSykZr,0.133532624,-0.144784315
wStjauGkW0,-0.049781,0.159134671
7QoNAvMsTn,-0.067992526,0.004929489
N1NxBOTzKi,0.036788277,-0.068205182
nZ1IOjSdX7,0.08578866,0.024286628
BGvgVb2nDS,-0.016689463,-0.079057753
zIFz5L7kIi,-0.191032553,-0.001475596
tHvqpzKhvW,0.072091128,-0.028724633
sKK9ufsJu4,-0.03013282,-0.312381485
h17Y5wYLUn,-0.000915586,-0.035692036
NORFZleWew,0.236349499,-0.120677945
9b7ebNWMrL,-0.040705463,-0.049884622
0wkZI3AtiF,0.052053728,-0.053796997
dzGkGtpvn5,-0.086488464,-0.018330856
5vLx92dYUQ,0.036788277,-0.068205182
irmnquODRc,-0.201694409,-0.075728229
bIemEY29YW,-0.176542915,-0.118470457
swbl6Zw1pp,0.00614255,-0.153732096
GTmEYY8eNn,-0.158708935,0.071052209
Q4NRtcRi7U,0.06529113,0.246342169
cOLQnQtHOw,-0.050109999,-0.064459339
sQj3IZFgiJ,0.238522065,-0.173893273
Q4kqirCmVk,-0.071827804,-0.076476312
OzNPINYjW8,-0.006702076,-0.048685021
YPT11fE9jW,0.036106622,0.064347635
6Y5eHAo9mi,-0.004798847,0.020212129
LWAiHRen4A,-0.038187814,-0.110807152
cXs2WsDsZs,0.077025235,-0.071373408
JRGyEYK1qR,0.026491119,-0.008108508
pscU1VfZmn,-0.067558265,0.002098437
e5kAtxV6y6,0.0085488,-0.139967675
ngDdeCUV6a,-0.066738875,-0.007224635
2DzN9LsPHh,-0.074325752,-0.182872329
X9CsGVrY1Z,-0.270555545,-0.159845033
hWN86xaIMQ,-0.019647408,0.003222078
lqz7qAtAN4,0.034843016,0.06205887
CQjSgOM2jK,0.036375573,0.06205887
WobbaGvRfu,0.111456959,0.055809907
hwMCvUGPUL,0.022293353,0.060371731
u2BIxtNi9i,0.180772761,0.038362101
E3NfFvOauk,-0.008090603,-0.020990719
ani3ifFzdd,0.002593328,0.030363208
aCHYrPldp8,0.002476232,0.135263203
avJJQp0YSB,0.242683415,-0.169208693
T0PEWKKN3O,0.23891531,-0.096297342
INtssIfcnc,-0.083956088,0.096271684
3SPnYFulNh,0.010485352,0.117102363
MZ2cm5gdrg,-0.129000347,0.170647793
daxkkMq6i9,0.242683415,-0.185421535
bxBlOnQCpz,-0.048367268,0.02354615
DOJNka3ObI,-0.007494602,0.286051484
OinulvW3Sz,-0.034475745,-0.075828558
gXvoVOmBsS,0.044103782,0.158803487
m7nDReJLOi,-0.128296482,-0.009968008
VW5Ydtr6Ye,0.041555597,0.102592955
SaXWh1kTni,0.019798647,-0.002917714
mWx5SV05li,-0.054495979,0.022989106
uIUE3if0cq,0.058052918,-0.132211521
LVCtl0wN2R,-0.039552595,-0.117435984
im3BtCOYPf,-0.269154597,0.052194805
7XN3AlgNMl,-0.074837693,0.0622398
CMseQ3X2nX,-0.147248107,0.129035346
3rT5KAbl71,-0.117033878,0.043231544
J4BicMNrhF,-0.114143118,0.080761197
ycvH9It0sO,-0.110329662,0.010339228
Rl4LUp69w7,-0.111016919,-0.058559827
re0L8pWbak,0.033172822,-0.015500312
wIor1QhQNC,0.351799445,-0.067716314
S98p53dtPC,-0.065436691,0.026460451
TBxoloxM7r,0.031585451,0.177359842
SgKzR6x82M,0.063102753,-0.096830631
26cHGinB7q,-0.016596845,-0.046738817
BI4bcoaUkC,-0.177241794,0.035446098
YIjsSIAPN2,-0.007207105,0.152267569
eWEE7x7IFu,-0.023827266,-0.00581321
4OgN2Eiix0,-0.250963087,0.094092687
7EasNkNv7Y,-0.014714979,0.014963678
CgxHF8bNGu,-0.037281338,-0.003112583
CAAJwvX62W,-0.050075838,-0.058789149
FOVHaR90ON,-0.252213439,0.093672272
Fh3E1yM5P3,-0.084046834,-0.060442839
XatCGZUXKP,-0.000242641,0.016695522
AwGSwzxluE,-0.006138952,0.025307003
ruPrGBEkYP,0.043730862,-0.017782358
IMnMFQkENJ,0.057584124,0.102051495
tRNN8oaHBx,0.016159975,0.012593757
8NRKoTDhFp,-0.038641855,-0.072516698
bofTLzQkUE,0.039478242,-0.011215011
74vMDf4co4,-0.11458323,0.128296191
U6kZpaRFMf,-0.093331062,0.017605149
BcqYTxDGs7,-0.250963087,0.085147134
SUB3B1Beed,-0.085713808,0.026005886
JEFDoD3FY1,-0.10162933,0.116638256
PYfNcILRTJ,0.027626149,-0.219350844
OQdjGTnYfU,0.004388826,-0.058223259
zzzL6N4Bks,0.018489921,0.009114017
BOuQEqffJs,0.05193919,-0.124013412
xzEHn2cH93,-0.036125456,0.103344311
yQSGXrtYRe,-0.018871914,-0.01080481
WeZxXJDXzm,-0.220512724,-0.03912551
gQakgdMVmJ,-0.018378175,-0.039186002
k7spceAiOT,-0.046267903,-0.070768718
3CsvLo0Nzo,-0.134574151,-0.152065637
o9Vnj0Ajam,0.00864093,0.250314897
fInKy7OLAU,-0.128575048,0.120005355
936BjW6DEB,0.045996926,-0.026300541
zL7P81XYKu,-0.036228248,0.10259047
Swi01c205I,-0.01047879,-0.067674493
Kunx7Xr3J5,0.036390853,-0.064812145
5LqeEDKdJL,-0.035391429,-0.127653753
lFaOE6bcpW,-0.087324763,-0.183608385
S4BLj7nGkc,-0.020153906,0.03159426
dVBb2XcZM4,0.00792593,0.037902418
KtoKfinU4O,0.006788928,0.009834581
M31rsR1KNc,0.022937503,0.152658627
6EnfIIM2XK,-0.222765709,0.127960464
zNYo1bsNT3,-0.023465029,0.029900377
sGPC8tDoT8,0.021713972,-0.072648291
joSF2RcStD,-0.059786425,0.022540561
AOpROUrdGN,-0.122391915,-0.216296031
7L4weTKRvz,0.009057432,-0.020560738
g9gQ0rpvaY,-0.002081952,-0.095484706
6cJNqA5oyN,0.021713972,-0.031300897
C506mQoP4r,-0.041790081,-0.101101342
umBGDhHbvu,0.072826742,-0.133235154
yAClQWljPW,-0.077570502,-0.094505562
2y0Q8GMrnb,-0.145471403,-0.012172235
fSdwkkK3js,-0.053860406,-0.013192489
c85emcNhZQ,-0.036345824,-0.005507097
LROYeysdhp,0.06615711,0.077276728
ENh9UScBbT,0.097744049,-0.067089762
vpIbfKtwMY,-0.046463374,-0.006663277
aBSlUKj11N,-0.000734134,-0.062392199
CDFce5bPPy,-0.055753661,0.072375986
RY58DtRuj9,0.021445021,-0.056295232
s7mvmZRbw1,-0.026705061,-0.076558597
fXr7JvMFXj,-0.055404598,-0.029494307
qi3544qZjC,0.043337005,-0.127479976
tUfnvm1MEw,0.005162556,0.012101132
h9qTYZoeSX,-0.072141535,0.098400115
C9QEGld9kY,0.049236501,0.045104415
A9EhIuMCFO,0.029176485,-0.101161937
kXadMWThhc,-0.217225089,-0.146968955
y2ufKr8yVQ,0.041487111,0.047462244
2dLJv6FNBj,-0.07710582,-0.040972854
JRmR8cGyuT,-0.02513806,-0.018104697
YTX3DqVhO8,-0.02513806,-0.026583141
ilh5loOJuB,-0.040299947,0.048409082
r5bvylrfVI,-0.034122221,0.089638653
GlynezvHJG,-0.029052583,0.17798545
g91vPgHPNt,0.157900169,0.058285723
7yYpEYfBPC,-0.082498279,0.031805062
4yk2AjXE2t,0.212798469,0.051039872
UzztQ903t0,-0.133867399,0.199394014
8qV0QIYY5k,-0.027161933,0.037000305
0xQ5PJaCzC,0.040098474,0.031383159
BfSKUGum9d,-0.130049746,0.006048362
is5GXbFqzU,-0.052070719,0.021575632
2lFQejjGWU,0.056222436,0.043150857
CPCFQToMf6,0.021241237,-0.013490952
9aDFroDOAG,0.026599288,-0.138518738
l7GOUOBvTX,-0.104347282,0.110313711
tSk9DSLOfu,-0.038994346,-0.244405456
JIYg04sJzA,0.036303145,-0.001998046
nBQs3wwemE,0.012930664,-0.020560738
5enRb6ExSY,0.06214417,-0.03379967
9PfQFI4AQF,0.000378056,0.053080097
NjFv5IzSEQ,-0.036154448,-0.019714184
NnFmz3LMZ6,-0.042477676,-0.056793986
mzNB5NGy71,0.068955093,-0.106962878
kleI5cZKDs,0.03499636,-0.053057298
muRjamql8u,-0.006661977,-0.056582161
yUWKWMjQKw,0.096190929,0.129160809
aFSc0W07SH,0.291170451,0.023156125
cuu4arivmX,0.061353712,-0.019582796
aa3ShGYCzr,-0.109294022,-0.049996654
3u9q06UBAP,-0.141532039,0.030846543
MajucQGZp8,0.061462628,0.060794423
mBDEVSUcRn,-0.076206678,-0.124803033
KFRLpHRLQ6,-0.004492788,0.028814673
knxvu99mwo,-0.196274616,-0.034932479
Ra73vKvfFg,-0.101951323,0.009391884
6mXl1ovnlf,-0.014033549,0.025134416
KqbNDpKRdD,0.239253384,-0.11967149
GLydVx0Ymh,-0.254128116,-0.00647079
1i8fYBKH2a,0.191968937,-0.008814271
AD2ie3x2bS,0.039001247,-0.101115527
HLJv6HLvKo,-0.191032553,0.007002848
YwTUW2xngC,-0.046724089,0.096283335
V9r81ufShy,-0.053295542,-0.175445519
X53M7yEfNF,-0.265958768,-0.055521193
XkpvYZvHhr,-0.125056343,-0.04236206
7X0WxaMCjR,-0.100113463,0.024778916
t1QAq3AMAy,-0.058723261,-0.092921378
CmOlykSLCh,-0.1202828,-0.055346051
0AlwOogyqi,-0.041216974,0.02115995
wkHKTPOXkr,-0.096079195,0.016527766
QSfjHlElNu,-0.17787918,0.001291497
0pbE6dUb3n,-0.131321189,-0.04854933
srr1zfIWg9,-0.162141805,-0.03626268
539Mz31fbD,0.115423253,-0.015420759
jOYwq1ch2U,-0.115825345,-0.017560552
75EByZCZ6w,0.023099018,-0.082522068
iwml5iqGfg,-0.000242641,-0.017984553
khOoYQDLyc,-0.000242641,-0.034197394
7ijbPSYCGW,0.129486132,-0.066754412
hCgKLYy9BG,0.024088206,-0.10045837
lTpjrI4nEX,0.016210517,-0.009297952
PERz7IzdQU,0.058892856,0.006238759
z95gQaFMxr,-0.037684505,0.022762041
ACO02rwoEM,-0.000242641,0.0270773
9uNI7LFpYX,0.010443031,0.020431917
RLoZOvAES4,-0.055927552,-0.199384372
1Dc17L7UlF,0.003670209,-0.048059375
CgjAxArwOf,0.026413608,-0.035540552
wqttRE96uQ,0.073152493,0.002812785
xdZ1YUmZps,-0.08121149,-0.00755778
OFAN8C5F8U,-0.057906185,0.062591741
XmulXROhMR,-0.090296746,-0.017927971
cB8WBBECi9,-0.005201836,0.08355435
IKl67cvJBh,-0.010656119,-0.249975507
GxUnt9z0pW,-0.001892766,-0.003328725
C3ZFNCyEkO,-0.10240787,-0.009857621
k3pFQmH3a4,0.074515728,0.030372835
eh4j7W6AVC,0.155112476,0.002682758
90DRL1kHgi,0.017840067,-0.0930748
N1d1usvqUB,0.004565515,0.006644649
1aVhzM9GSD,0.088833434,0.065281537
etawTWzBf8,-0.0493632,0.001067697
z1huXaTRkA,0.062810329,-0.008283221
JT9B2mUWD1,0.059765747,-0.067260708
WCtURxqyhf,-0.134574151,-0.152065637
R13vLT4Fbw,-0.019734796,-0.025355961
KIX4CKJRv8,-0.050684553,0.016586331
evtUbpnV6G,-0.086263595,0.010626653
16ly5uucBe,0.004438661,0.09767956
SUj0UaFaPS,0.065324421,0.016835749
lRPNjTulxk,0.014637973,-0.018395627
Xj4YT7lovP,-0.190046983,-0.039835207
xQF0TkyPLI,-0.2217809,-0.194534104
23goVd7Ltt,0.02019628,-0.108844916
AVIuLTHBkR,-0.128366742,0.031688771
ZEyi580mTN,-0.080522982,0.060517672
PLEw3lxlsR,-0.000163314,-0.001283744
haNqwNTkwO,0.161443916,-0.062236085
KU1HSvZBBs,0.068289887,-0.015153709
AWadOYfoAF,0.042918746,0.00071963
uaHFlWZkav,-0.007619758,0.017092216
y4SiUlskF3,0.035184835,-0.020721581
L6A670hv9J,-0.049412725,0.076501073
jA7EVDQ8R3,0.004255952,0.001823452
fKqK34kbKi,0.015812705,-0.008182478
MpY2vEw3dK,-0.006888404,0.030890555
b6iEZ3oVvu,-0.073535831,-0.036868816
cFpvsyY4Nl,-0.335694168,0.001776226
8FRoTJY7AJ,0.172971117,-0.100767555
W6wlbsJ9va,0.295599321,-0.365487657
T4kq3EU1OR,-0.113222702,0.162772269
TnCLnIFHOB,0.036854776,-0.035947561
YANWxwyYjd,-0.10694564,-0.020556182
NFAR0C8nAo,0.06562788,0.00550721
3eVwWZqQv3,-0.245343246,-0.068483496
dYDgzbqzWF,-0.11064015,0.232704238
hSZFRKDHx3,-0.143138923,0.011378676
gSU725RgS5,0.066415159,0.079034187
TECCDCGbEq,0.031621139,0.05464764
gBXyo6K53y,-0.008028178,-0.268577857
l6p7702f0M,0.020836609,0.007903927
csuqpSGW8u,0.003903569,-0.111656926
KJPmW3yM4o,0.103246676,-0.000416251
G3o1oxs0cl,-0.122550381,-0.118206829
kYV0V8GeuN,0.016042138,0.100276923
bowpehJ5mp,-0.386466664,-0.089304601
Gz49j3oM8G,0.044657387,-0.019712124
addvmih6vA,0.050916619,-0.017782358
JooKekRwFt,-0.014633892,0.032511332
DG86MH9KRA,0.012470468,0.033043317
EEuoyk5Gp7,-0.023320157,0.076267625
n2HBelsJbj,0.288731918,-0.046883076
RRjxAHvIsK,-0.024942821,0.081091839
V1Fimfi0XW,0.00395146,-0.035467371
ExLg5CHcnm,-0.031023178,0.303026089
5ND0RHScgk,-0.016051158,0.29185097
vkIwzNuAhU,-0.112507028,0.063833442
780Njpf1be,-0.074084537,0.003657591
ZRiGMbw0Y9,-0.008296015,0.102786502
uCv85mmNWo,0.015894755,-0.073340356
xPVSAZT3gi,-0.11886311,-0.03990144
xUB2Txg4In,0.059773705,-0.036843977
UZoaAdlrfY,0.001933587,0.006340247
QYf4XhmXhi,-0.105792857,-0.017830729
Vcezuycn2E,0.148634858,-0.038770894
zXZsPT7xUj,-0.022540812,-0.05013732
F5CCIZAZQ3,-0.172129603,-0.057348075
Riq4rbLmmm,-0.045425082,-0.102316129
evCmarQMyl,0.031186127,0.054863036
hEDRc9lav5,-0.077498175,0.096599685
g6OoL0dlzB,-0.153491919,-0.115320107
jG51cU7oBL,-0.026705061,-0.086569094
tafLw4tBL7,-0.061945247,-0.045966007
jTZ7BgZyfz,0.038097712,-0.084844804
1ua5vRfbj5,0.060474608,0.053359787
Mol0a62X5d,0.01796919,0.009333929
FWD799lNWS,0.15448333,-0.000587019
UjuoMIBfjK,-0.062840145,-0.023440641
OSLQtw07Bb,-0.095288155,-0.040573639
7t9KUOLINK,0.017687943,-0.08157566
feGyFYU1sY,-0.024504853,-0.00888882
BRf9iViYOu,-0.024048553,0.152138395
GDeF4aKa2e,-0.094598245,0.016860882
GXnKahR2fA,0.056581777,0.017513264
6maWCsOYYy,-0.040369774,-0.02414564
ybiujYQ7nK,-0.152960634,0.056445077
J7qzuTaRO8,-0.047039643,0.045657246
Zg2RzwbiJr,-0.017673084,0.023186626
dARjxTtQTk,-0.040258752,0.104284214
Dk7AjsFZGP,-0.007881743,0.214272987
Rv9ESbHyof,-0.040374729,-0.128327
O3skhHMqHK,-0.092503592,0.052990259
S43u8lhHDB,0.071091993,-0.029338553
0lmqQaPkwF,-0.000606732,-0.006440551
4nxjqaYjjh,-0.03386169,0.125047041
zIy8yy9Ruh,-0.024619182,0.175938043
6JTII7DOjF,0.109605434,-0.191325176
23j7j6IzOa,0.032800409,0.050555176
pe99PpqHUn,-0.074176661,-0.041297926
ZyAfkkEImv,0.041358005,0.04404745
CNjTmfRhRq,0.043167767,0.011320478
gWp0lhEIez,0.248156015,-0.023263717
tn4JGQGVIO,-0.003270507,-0.051331598
9zOdLbARPX,0.187911227,-0.038904255
4fdHOsbX62,0.119188652,-0.059532222
XyAPio6Zke,0.157242233,-0.057381584
ihCwI6XXLH,-0.007293865,-0.060808108
HncuSrxjBP,0.012268534,-0.060864555
uGkhnv0bae,0.068342334,0.118167233
71sKIbvGmv,-0.03704085,-0.094340122
bKSjpiNpoF,-0.03704085,-0.094340122
m2cCXBN4cN,-0.174759968,-7.12337E-06
sOLOnBdt70,-0.002510127,0.001633335
A2JK2yZ390,-0.016051158,0.29185097
sVtm757wIb,-0.002249279,0.020269161
tXLtNtMs5o,0.012811031,0.012848167
lBtPp3RotG,-0.035222348,-0.022868167
JOUHBJzDnZ,0.000769198,-0.019449286
nuRVmrGwo4,-0.006167013,-0.086236344
3jy6yZUPql,0.032366548,-0.041954842
tBM2Mfnbqm,-0.056953049,-0.02516853
4HIrU83GwG,0.154838384,-0.05809487
DcYjgdlTvm,0.114594267,-0.024974301
PEoio8g0Hv,0.090881936,-0.015698438
GAcajKe25W,0.073084457,0.084536086
K94jmkQOLS,-0.025017919,-0.017407695
uO3KgRxBVd,0.10443953,0.189281614
SbKor80pEu,-0.042840087,0.057768983
KoWzEabJsq,-0.028956588,-0.007236033
99AzUSDtIe,0.173047652,-0.011765913
SlS9RbjM6U,-0.02486835,-0.203784193
TowQwjeWLV,0.006314488,-0.052133347
2VSrrxEerv,-0.040785444,-0.079122673
vhiXT0xxTt,-0.000779158,-0.006866403
9v9ZEumTjw,-0.174095603,-0.033262484
CElFpdGIrd,-0.146683733,0.028633901
j3Vr7rriQ6,-0.003756445,0.085342835
QVFvknH8BH,0.003504093,0.011416025
Gi3LFdKB9l,-0.027968597,0.06869005
vERcYkq2NB,0.099117641,-0.166504383
qjJCGXmuJl,-0.030522429,0.06869005
ykKuIaut7i,-0.075006255,-0.021233797
67M8BBXmsZ,-0.029943439,-0.052796062
eraBXOEZ7E,-0.165165947,-0.003950771
L0lA6JKm3o,0.17089666,-0.201992298
ftWv15DYao,-0.029641891,-0.178970876
MA46RbvsVH,0.073619064,0.049454361
WJS2y7ypnN,0.051596419,-0.024655226
D1pVqnC7RA,-0.031593759,0.168682945
KDQleaE4KQ,0.024181395,0.067636861
ssRPV1RQKA,-0.222765709,0.127960464
gJgBvWm75H,0.022983281,-0.056752668
zpJmcYQQ9X,-0.012311739,-0.111643087
UyAegkM6UL,-0.024333305,-0.20723001
VIvo9GcjzW,0.071921968,-0.116418956
xtZUEIwWep,-0.035222348,0.014480825
S2ITuhoOmU,0.029240116,0.112596773
pfFK9cOxXV,0.044863579,-0.029262285
W3CzY58XQR,0.314148557,0.049350665
Snf7atxfw8,0.157683385,-0.084208321
83B3vLX34Y,-0.032057814,-0.047077361
oa3CZ7IBt4,0.067738289,-0.120637686
xi5rew2r7S,0.032831682,-0.184468007
lpKTYAzIaO,0.172383761,-0.059785361
MXVcCioQB0,0.170241559,-0.029480728
rW0V53xBxc,-0.058376375,-0.081864449
leayu9rIJT,-0.014978001,0.122779002
ia4ZcwY36o,0.023290925,-0.105264392
NclveChADO,-0.022534824,0.04399397
xHn9aiJFAb,-0.086387297,-0.193769112
PHoNo7daN7,0.025258831,0.09248429
SWHCqg8jvh,-0.011569255,0.014786699
ruNhCRO3yC,0.000661826,0.025923695
pzT10lSbjC,0.002094301,-0.111091709
Y2brssQ535,-0.084309645,-0.176882057
9LLD4Qf9Jn,-0.009579452,0.024762383
ubu7IylU5F,0.052160468,-0.00392766
YXEKbUqpm8,0.115653403,-0.017528136
4U9sNxdSHa,-0.041763334,0.041062152
AJaP6I09FG,-0.041763334,0.041062152
F0GoB751BC,-0.041763334,0.041062152
Tc5lhSMuNA,0.046165719,-0.06728832
XWZOH7v46f,-0.056435142,-0.030948743
PHUmFUflR3,-0.007392247,0.171426385
hrOUB3IIJz,-0.040968299,0.009390853
LeyDgLr8SD,-0.059399117,-0.065319123
1USC8bgcmi,-0.028799659,0.039088445
XQjRql49Da,-0.03079138,0.060164913
2wxzL4gZvx,-0.010473664,-0.039275903
kUF5tNGadC,0.128203534,-0.032956995
FLT7krGFA0,0.006386824,-0.072284293
rEIZctRc1j,-0.001760684,-0.068869275
nnlBEkua6C,-0.001760684,-0.068869275
Iu6dZWBUMl,-0.043270811,0.119088865
DBvckWMx6H,-0.039143798,-0.056793986
jZ35MMRYnw,-0.222765709,0.127960464
JaFTLenDxd,-0.055324884,-0.021602182
pHjdlnqg3P,0.082403503,0.154980586
U2OYx2JGXo,-0.052766707,0.012431017
AnOqSXMb04,-0.077298883,0.055060391
ziFtJHpycD,0.129342369,-0.110865099
uSRT5D8uF7,0.005680217,0.151162565
u6nIB2xMbL,-0.039143798,-0.056793986
ROkxIAwdX1,0.087013496,-0.231832275
ZG36QwIjOE,0.059741929,-0.025513028
uEU8mFXNnF,0.016515487,-0.170914991
irpaED0u3s,-0.096419422,0.139265097
vieiMRu6rA,-0.018664675,0.038560141
IV6yeaQwjJ,0.092089761,-0.112281037
AmzUnWUeC5,0.000661826,0.071755283
U7qbyO51T6,0.018832406,-0.020090339
CAF25OaCBv,-0.074171102,0.037982431
YxWfe0UW9k,-0.0292869,0.004274389
HnCIfzZOCN,0.064299539,0.179273051
ys4NI4XJ1s,0.079623264,-0.047847584
NQ5OTclHOM,0.083143969,0.171729594
ypoZ0KKIAF,0.136338101,-0.205720183
BZ40tzMImk,-0.0896021,0.058597182
dQTjgjkyi8,0.023786309,-0.062946473
FdtxtiDgNZ,0.022687463,0.035893204
Ch2DXL0tVA,-0.057087316,-0.007194235
Nyj4CDqsPx,-0.056818365,-0.032072432
TgC3RftwGJ,-0.003521393,-0.010379904
8M0rLoeK45,0.008512395,0.007886221
0cOLt91FUf,0.051637612,0.081511443
Fx4EdoaKVP,-0.10996061,0.100505732
54GMeTBwUu,-0.100618513,-0.01300262
G7gLqMiHMV,0.042012412,0.025682162
GClGWBLiK3,-0.058573815,0.017186368
h0dAL4i037,-0.056818365,-0.01066313
pptcDBujM9,0.035324247,-0.086011463
92Yp40eAzu,-0.058842766,0.065717116
nzR9UTz5kZ,-0.010655363,-0.018501363
IYQOZxMkeV,0.036323768,0.090124885
LFEtw5qaNX,0.158320038,-0.084317968
QpJ9BailJB,-0.054365769,0.114903098
FjDJjLuXbu,0.157165614,0.140149801
wveecUbjAy,-0.266975673,-0.002346762
HBm2Ktn0HI,0.133216842,0.005416085
oMGIPofoMZ,-0.049966454,-0.007194235
un6ZiGtENd,-0.057179092,-0.031446309
UaK1ZLDNWJ,-0.026513359,-0.010317428
3uY8rgylds,-0.021151574,0.117711824
VbaLCwlvDN,-0.059810629,-1.1978E-05
wokkzMoh4U,-0.052967373,0.002420501
hap1MLABAy,-0.039147868,-0.10241686
dCe5Wo3td7,-0.06700343,0.009976707
qJ7PbUIXyE,-0.083368199,-0.145444043
n9mCQtdH2O,-0.001341588,-0.050650449
kP5znuQUZR,0.102897488,0.106269741
mLGqzr8oxe,0.031948643,0.049838723
sNTAELDND6,-0.017207,-0.063484178
Rnl9whmLen,0.109629522,-0.03638112
lfJGwps4a5,-0.056818365,-0.047246539
7jQl5hcNcc,-0.096419422,0.155477938
nrVNfHF88A,0.096705287,-0.071560727
bzQUJ5FX7K,0.015310326,0.094002456
7Dh3Zq7aLr,-0.13704291,-0.058802009
GDdf1NPDq0,-0.003529844,0.043279816
iHTytLTebj,0.025895122,-0.14522602
hf4fjdvnve,0.017199346,0.045205786
3xvFIdyh2p,-0.011753206,-0.049498792
f0LIN6Pace,0.01230187,-0.096428801
JndGoKtHKv,-0.265063784,0.212812628
n4zcprKwHY,-0.062081723,0.056694483
JZ0QPd8L1M,0.158634112,-0.023418648
weW1FiK9wa,-0.025098972,-0.035172974
PPVFp6ADCI,0.002773925,0.003725697
3SZnTP8jmr,-0.054955861,0.01750698
lcElSSODs5,-0.061671428,0.117509881
O0CsUgjHU6,-0.01862883,0.06869005
